stage,method,weight_boundary,threshold,sensitivity,specificity,mcc,w12,w23,w34,qwk,macro_f1
stage1,weighted,0.55,0.1,0.9960629921259843,0.3049645390070922,0.4886781296856759,,,,,
stage1,weighted,0.55,0.15000000000000002,0.9822834645669292,0.40070921985815605,0.5243132232729902,,,,,
stage1,weighted,0.55,0.20000000000000004,0.9625984251968503,0.5851063829787234,0.6218174180231795,,,,,
stage1,weighted,0.55,0.25000000000000006,0.9498031496062992,0.7092198581560284,0.6881162017573492,,,,,
stage1,weighted,0.55,0.30000000000000004,0.9291338582677166,0.8226950354609929,0.7320831926256766,,,,,
stage1,weighted,0.55,0.3500000000000001,0.90748031496063,0.8865248226950354,0.7418930660548878,,,,,
stage1,weighted,0.55,0.40000000000000013,0.8917322834645669,0.9326241134751773,0.7512096154391592,,,,,
stage1,weighted,0.55,0.45000000000000007,0.8740157480314961,0.9539007092198581,0.7409694027779287,,,,,
stage1,weighted,0.55,0.5000000000000001,0.8503937007874016,0.9539007092198581,0.7085093955744394,,,,,
stage1,weighted,0.55,0.5500000000000002,0.8188976377952756,0.975177304964539,0.6849290350406938,,,,,
stage1,weighted,0.55,0.6000000000000002,0.7893700787401575,0.9893617021276596,0.661664611419466,,,,,
stage1,weighted,0.55,0.6500000000000001,0.7588582677165354,0.9964539007092199,0.6344484888829539,,,,,
stage1,weighted,0.55,0.7000000000000002,0.7234251968503937,1.0,0.6019593607188408,,,,,
stage1,weighted,0.55,0.7500000000000002,0.6909448818897638,1.0,0.5717723192453652,,,,,
stage1,weighted,0.55,0.8000000000000002,0.656496062992126,1.0,0.5416589674570079,,,,,
stage1,weighted,0.55,0.8500000000000002,0.6181102362204725,1.0,0.5100586542422574,,,,,
stage1,weighted,0.55,0.9000000000000002,0.5738188976377953,1.0,0.4757282663496017,,,,,
stage1,weighted,0.6000000000000001,0.1,0.9960629921259843,0.3049645390070922,0.4886781296856759,,,,,
stage1,weighted,0.6000000000000001,0.15000000000000002,0.9832677165354331,0.41843971631205673,0.54265590614829,,,,,
stage1,weighted,0.6000000000000001,0.20000000000000004,0.9616141732283464,0.6063829787234043,0.6360532428509927,,,,,
stage1,weighted,0.6000000000000001,0.25000000000000006,0.9478346456692913,0.7269503546099291,0.697284972519091,,,,,
